CustomerID,first_purchase,last_purchase,num_transactions,monetary_total,avg_order_value,num_invoices,recency_days,frequency,tenure_days,mean_days_between,purchases_30,purchases_90,purchases_180,churn,churn_proba
12346,2011-01-18 10:01:00,2011-01-18 10:01:00,1,77183.6,77183.6,1,326,1,1,1.0,0,0,0,1,0.9996911
12347,2010-12-07 14:57:00,2011-12-07 15:52:00,182,4310.0,23.681318681318682,7,2,7,365,52.142857142857146,11,58,80,0,0.00015749647
12348,2010-12-16 19:09:00,2011-09-25 13:13:00,31,1797.24,57.97548387096774,4,75,4,282,70.5,0,3,3,0,0.00015749647
12349,2011-11-21 09:51:00,2011-11-21 09:51:00,73,1757.55,24.076027397260273,1,19,1,1,1.0,73,73,73,0,0.0004087377
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,17,334.4,19.670588235294115,1,310,1,1,1.0,0,0,0,1,0.99983275
12352,2011-02-16 12:33:00,2011-11-03 14:37:00,85,2506.04,29.482823529411764,8,36,8,260,32.5,0,47,47,0,0.00015749647
12353,2011-05-19 17:47:00,2011-05-19 17:47:00,4,89.0,22.25,1,204,1,1,1.0,0,0,0,1,0.99968827
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,58,1079.4,18.610344827586207,1,232,1,1,1.0,0,0,0,1,0.99965096
12355,2011-05-09 13:49:00,2011-05-09 13:49:00,13,459.4,35.33846153846154,1,214,1,1,1.0,0,0,0,1,0.99984825
12356,2011-01-18 09:50:00,2011-11-17 08:40:00,59,2811.43,47.65135593220339,3,23,3,302,100.66666666666667,2,2,2,0,0.00015749647
12357,2011-11-06 16:07:00,2011-11-06 16:07:00,131,6207.67,47.38679389312977,1,33,1,1,1.0,0,131,131,0,0.0004087377
12358,2011-07-12 10:04:00,2011-12-08 10:26:00,19,1168.06,61.47684210526315,2,2,2,149,74.5,7,7,19,0,0.00013875145
12359,2011-01-12 12:43:00,2011-10-13 12:47:00,248,6372.58,25.695887096774193,4,58,4,274,68.5,0,105,105,0,0.00015749647
12360,2011-05-23 09:43:00,2011-10-18 15:22:00,129,2662.06,20.63612403100775,3,52,3,148,49.333333333333336,0,54,84,0,0.00013233189
12361,2011-02-25 13:51:00,2011-02-25 13:51:00,10,189.9,18.990000000000002,1,287,1,1,1.0,0,0,0,1,0.9996815
12362,2011-02-17 10:30:00,2011-12-06 15:40:00,266,5226.23,19.647481203007516,10,3,10,292,29.2,30,161,210,0,0.00013233189
12363,2011-04-11 13:29:00,2011-08-22 10:18:00,23,552.0,24.0,2,110,2,132,66.0,0,0,7,0,0.00022156422
12364,2011-08-19 15:24:00,2011-12-02 10:22:00,85,1313.1,15.448235294117646,4,8,4,104,26.0,27,51,85,0,0.000126539
12365,2011-02-21 13:51:00,2011-02-21 14:04:00,22,641.38,29.153636363636362,2,291,2,1,0.5,0,0,0,1,0.9998419
12367,2011-12-05 16:48:00,2011-12-05 16:48:00,11,168.9,15.354545454545455,1,4,1,1,1.0,11,11,11,0,0.000214435
12370,2010-12-14 12:58:00,2011-10-19 14:51:00,167,3545.69,21.231676646706585,4,51,4,309,77.25,0,28,28,0,0.00013233189
12371,2011-10-11 10:43:00,2011-10-26 10:16:00,63,1887.96,29.96761904761905,2,45,2,14,7.0,0,63,63,0,0.00039402873
12372,2011-02-16 12:46:00,2011-09-29 12:12:00,52,1298.04,24.962307692307693,3,72,3,224,74.66666666666667,0,13,13,0,0.00015749647
12373,2011-02-01 13:10:00,2011-02-01 13:10:00,14,364.6,26.042857142857144,1,311,1,1,1.0,0,0,0,1,0.9998499
12374,2011-11-14 15:37:00,2011-11-14 15:37:00,33,742.9300000000001,22.513030303030305,1,25,1,1,1.0,33,33,33,0,0.000498533
12375,2011-09-02 14:23:00,2011-11-29 10:36:00,17,457.5,26.91176470588235,2,11,2,87,43.5,6,6,17,0,0.00030670417
12377,2010-12-20 09:37:00,2011-01-28 15:45:00,77,1628.12,21.144415584415583,2,315,2,39,19.5,0,0,0,1,0.9994313
12378,2011-08-02 10:34:00,2011-08-02 10:34:00,219,4008.62,18.30420091324201,1,130,1,1,1.0,0,0,219,0,0.0003434434
12379,2011-06-22 16:32:00,2011-09-19 10:09:00,40,852.24,21.306,2,82,2,88,44.0,0,20,40,0,0.00016160635
12380,2011-06-07 09:49:00,2011-11-18 11:27:00,104,2724.81,26.200096153846154,4,22,4,164,41.0,17,68,68,0,0.00015749647
12381,2011-08-12 09:57:00,2011-12-05 12:44:00,87,1845.31,21.21045977011494,5,5,5,115,23.0,7,25,87,0,0.00013233189
12383,2010-12-22 14:28:00,2011-06-08 08:02:00,99,1850.56,18.69252525252525,5,185,5,167,33.4,0,0,0,1,0.9990464
12384,2011-08-10 11:23:00,2011-11-11 08:39:00,27,585.27,21.676666666666666,2,29,2,92,46.0,13,13,27,0,0.00024067087
12386,2010-12-08 09:53:00,2011-01-06 12:37:00,10,401.9,40.19,2,338,2,29,14.5,0,0,0,1,0.9997652
12388,2011-01-17 11:12:00,2011-11-24 12:30:00,100,2780.66,27.8066,6,16,6,311,51.833333333333336,8,30,65,0,0.00015749647
12390,2011-09-21 09:33:00,2011-09-21 09:33:00,32,549.84,17.1825,1,80,1,1,1.0,0,32,32,0,0.00054835767
12391,2011-11-18 12:07:00,2011-11-18 12:07:00,100,460.89,4.6089,1,22,1,1,1.0,100,100,100,0,0.00089597964
12393,2011-01-11 09:47:00,2011-09-28 15:41:00,64,1582.6000000000001,24.728125000000002,4,72,4,260,65.0,0,25,25,0,0.00015749647
12394,2011-05-06 14:01:00,2011-10-07 08:08:00,27,1272.48,47.12888888888889,2,64,2,153,76.5,0,6,6,0,0.00013875145
12395,2010-12-03 16:35:00,2011-11-20 15:21:00,156,3018.63,19.350192307692307,12,19,12,351,29.25,15,60,77,0,0.00013233189
12397,2011-07-27 14:21:00,2011-11-04 09:52:00,126,2409.9,19.126190476190477,2,36,2,99,49.5,0,56,126,0,0.00011658158
12398,2011-10-25 10:27:00,2011-10-25 10:27:00,85,1635.6599999999999,19.24305882352941,1,46,1,1,1.0,0,85,85,0,0.0003434434
12399,2011-03-23 09:42:00,2011-08-12 13:15:00,59,1108.65,18.790677966101697,4,119,4,142,35.5,0,0,12,0,0.00013934054
12401,2011-02-09 13:50:00,2011-02-09 13:50:00,5,84.3,16.86,1,303,1,1,1.0,0,0,0,1,0.9996433
12402,2011-01-20 13:49:00,2011-01-20 13:49:00,11,225.6,20.509090909090908,1,323,1,1,1.0,0,0,0,1,0.9998055
12403,2011-10-21 10:51:00,2011-10-21 10:51:00,5,427.7,85.53999999999999,1,50,1,1,1.0,0,5,5,0,0.00083154003
12405,2011-07-14 08:52:00,2011-07-14 08:52:00,54,1710.39,31.67388888888889,1,149,1,1,1.0,0,0,54,0,0.0004087377
12406,2011-06-09 10:23:00,2011-11-17 19:22:00,105,3415.3,32.52666666666667,2,22,2,161,80.5,56,56,56,0,0.00013875145
12407,2011-03-20 13:21:00,2011-10-21 10:11:00,77,1708.1200000000001,22.183376623376624,5,50,5,214,42.8,0,13,50,0,0.00015749647
12408,2011-03-24 14:46:00,2011-11-07 12:27:00,105,2888.55,27.51,5,33,5,227,45.4,0,23,69,0,0.00015749647
12409,2011-06-10 12:19:00,2011-09-22 10:38:00,109,11072.67,101.58412844036697,3,79,3,103,34.333333333333336,0,45,45,0,0.00015749647
12410,2011-02-04 10:38:00,2011-02-04 10:39:00,26,693.3299999999999,26.666538461538458,2,309,2,1,0.5,0,0,0,1,0.9998419
12412,2011-06-23 13:51:00,2011-09-26 10:16:00,61,1226.88,20.112786885245903,3,75,3,94,31.333333333333332,0,16,61,0,0.00013233189
12413,2011-01-06 16:12:00,2011-10-04 09:00:00,38,758.1,19.95,3,67,3,270,90.0,0,10,10,0,0.0001614137
12414,2011-02-02 14:51:00,2011-05-06 14:51:00,18,562.41,31.244999999999997,3,217,3,93,31.0,0,0,0,1,0.999498
12415,2011-01-06 11:12:00,2011-11-15 14:22:00,714,124914.53,174.95032212885152,21,24,21,313,14.904761904761905,27,114,439,0,0.00015749647
12417,2010-12-17 11:51:00,2011-12-06 14:52:00,192,3649.1,19.005729166666665,9,3,9,354,39.333333333333336,20,44,100,0,0.00013233189
12418,2011-08-19 11:08:00,2011-08-19 11:08:00,34,668.58,19.664117647058823,1,113,1,1,1.0,0,0,34,0,0.0004189003
12420,2011-10-07 08:55:00,2011-10-07 08:55:00,29,600.39,20.70310344827586,1,64,1,1,1.0,0,29,29,0,0.00054835767
12421,2011-01-24 15:09:00,2011-11-24 09:07:00,45,807.04,17.93422222222222,4,16,4,303,75.75,9,9,34,0,0.0001614137
12422,2011-01-19 09:13:00,2011-09-05 09:48:00,39,803.5600000000001,20.604102564102565,3,96,3,229,76.33333333333333,0,0,26,0,0.0001614137
12423,2010-12-21 10:54:00,2011-12-09 10:10:00,125,1859.31,14.87448,8,1,8,352,44.0,17,17,29,0,0.000126539
12424,2011-06-30 12:06:00,2011-06-30 12:06:00,30,1760.96,58.69866666666667,2,163,2,1,0.5,0,0,30,0,0.00065501675
12425,2011-09-22 17:31:00,2011-09-22 17:31:00,36,777.2,21.58888888888889,1,78,1,1,1.0,0,36,36,0,0.00046614747
12426,2011-05-29 12:26:00,2011-05-29 12:26:00,30,582.73,19.424333333333333,1,195,1,1,1.0,0,0,0,1,0.99976975
12427,2010-12-03 10:44:00,2011-11-18 08:56:00,31,825.8,26.638709677419353,3,22,3,349,116.33333333333333,6,21,21,0,0.0001921075
12428,2011-03-01 09:33:00,2011-11-14 08:22:00,294,7956.46,27.062789115646257,9,26,9,257,28.555555555555557,15,15,59,0,0.00015749647
12429,2010-12-09 12:05:00,2011-11-30 17:22:00,97,3750.4,38.66391752577319,4,9,4,356,89.0,27,27,56,0,0.00015749647
12430,2011-10-27 15:09:00,2011-10-27 15:09:00,11,256.4,23.30909090909091,1,43,1,1,1.0,0,11,11,0,0.0007231102
