CustomerID,first_purchase,last_purchase,num_transactions,monetary_total,avg_order_value,num_invoices,recency_days,frequency,tenure_days,mean_days_between,purchases_30,purchases_90,purchases_180,churn,churn_proba,purchase_freq_monthly,expected_lifespan_months,CLV_score,predicted_future_value
12346,2011-01-18 10:01:00,2011-01-18 10:01:00,1,77183.6,77183.6,1,326,1,1,1.0,0,0,0,1,0.9996911,30.0,6.001854,13897340.81954956,77179.375
12347,2010-12-07 14:57:00,2011-12-07 15:52:00,182,4310.0,23.681318681318682,7,2,7,365,52.142857142857146,11,58,80,0,0.00015749647,0.5753424657534247,38095.848,519050.90642287943,4347.8613
12348,2010-12-16 19:09:00,2011-09-25 13:13:00,31,1797.24,57.97548387096774,4,75,4,282,70.5,0,3,3,0,0.00015749647,0.425531914893617,38095.848,939840.5112109643,1804.9799
12349,2011-11-21 09:51:00,2011-11-21 09:51:00,73,1757.55,24.076027397260273,1,19,1,1,1.0,73,73,73,0,0.0004087377,30.0,14679.307,10602581.665574165,1765.8055
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,17,334.4,19.670588235294115,1,310,1,1,1.0,0,0,0,1,0.99983275,30.0,6.0010033,3541.2979269588686,339.30334
12352,2011-02-16 12:33:00,2011-11-03 14:37:00,85,2506.04,29.482823529411764,8,36,8,260,32.5,0,47,47,0,0.00015749647,0.9230769230769231,38095.848,1036775.2187562218,2536.63
12353,2011-05-19 17:47:00,2011-05-19 17:47:00,4,89.0,22.25,1,204,1,1,1.0,0,0,0,1,0.99968827,30.0,6.001871,4006.2489652633667,86.48046
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,58,1079.4,18.610344827586207,1,232,1,1,1.0,0,0,0,1,0.99965096,30.0,6.002095,3351.031853346989,1086.0892
12355,2011-05-09 13:49:00,2011-05-09 13:49:00,13,459.4,35.33846153846154,1,214,1,1,1.0,0,0,0,1,0.99984825,30.0,6.0009108,6361.88862155034,456.87628
12356,2011-01-18 09:50:00,2011-11-17 08:40:00,59,2811.43,47.65135593220339,3,23,3,302,100.66666666666667,2,2,2,0,0.00015749647,0.2980132450331126,38095.848,540989.0452272412,2805.0503
12357,2011-11-06 16:07:00,2011-11-06 16:07:00,131,6207.67,47.38679389312977,1,33,1,1,1.0,0,131,131,0,0.0004087377,30.0,14679.307,20868158.348200444,6165.0156
12358,2011-07-12 10:04:00,2011-12-08 10:26:00,19,1168.06,61.47684210526315,2,2,2,149,74.5,7,7,19,0,0.00013875145,0.40268456375838924,43242.477,1070501.0351167873,1169.8486
12359,2011-01-12 12:43:00,2011-10-13 12:47:00,248,6372.58,25.695887096774193,4,58,4,274,68.5,0,105,105,0,0.00015749647,0.43795620437956206,38095.848,428718.21907923056,6575.5957
12360,2011-05-23 09:43:00,2011-10-18 15:22:00,129,2662.06,20.63612403100775,3,52,3,148,49.333333333333336,0,54,84,0,0.00013233189,0.6081081081081081,45340.203,568973.9525342748,2681.6013
12361,2011-02-25 13:51:00,2011-02-25 13:51:00,10,189.9,18.990000000000002,1,287,1,1,1.0,0,0,0,1,0.9996815,30.0,6.001912,3419.289333057404,193.7429
12362,2011-02-17 10:30:00,2011-12-06 15:40:00,266,5226.23,19.647481203007516,10,3,10,292,29.2,30,161,210,0,0.00013233189,1.0273972602739727,45340.203,915226.837642788,5230.06
12363,2011-04-11 13:29:00,2011-08-22 10:18:00,23,552.0,24.0,2,110,2,132,66.0,0,0,7,0,0.00022156422,0.45454545454545453,27080.062,295418.8636363636,546.7403
12364,2011-08-19 15:24:00,2011-12-02 10:22:00,85,1313.1,15.448235294117646,4,8,4,104,26.0,27,51,85,0,0.000126539,1.1538461538461537,47415.836,845181.9118035915,1299.6434
12365,2011-02-21 13:51:00,2011-02-21 14:04:00,22,641.38,29.153636363636362,2,291,2,1,0.5,0,0,0,1,0.9998419,60.0,6.0009484,10496.968100348386,641.8363
12367,2011-12-05 16:48:00,2011-12-05 16:48:00,11,168.9,15.354545454545455,1,4,1,1,1.0,11,11,11,0,0.000214435,30.0,27980.375,12888778.19318182,169.11084
12370,2010-12-14 12:58:00,2011-10-19 14:51:00,167,3545.69,21.231676646706585,4,51,4,309,77.25,0,28,28,0,0.00013233189,0.3883495145631068,45340.203,373844.09003727976,3516.178
12371,2011-10-11 10:43:00,2011-10-26 10:16:00,63,1887.96,29.96761904761905,2,45,2,14,7.0,0,63,63,0,0.00039402873,4.285714285714286,15227.277,1955679.6281568878,1884.6956
12372,2011-02-16 12:46:00,2011-09-29 12:12:00,52,1298.04,24.962307692307693,3,72,3,224,74.66666666666667,0,13,13,0,0.00015749647,0.4017857142857143,38095.848,382082.25173889834,1290.3798
12373,2011-02-01 13:10:00,2011-02-01 13:10:00,14,364.6,26.042857142857144,1,311,1,1,1.0,0,0,0,1,0.9998499,30.0,6.0009003,4688.417652675084,367.2063
12374,2011-11-14 15:37:00,2011-11-14 15:37:00,33,742.9300000000001,22.513030303030305,1,25,1,1,1.0,33,33,33,0,0.000498533,30.0,12035.287,8128523.501970882,745.1252
12375,2011-09-02 14:23:00,2011-11-29 10:36:00,17,457.5,26.91176470588235,2,11,2,87,43.5,6,6,17,0,0.00030670417,0.6896551724137931,19562.762,363081.6830153398,456.37094
12377,2010-12-20 09:37:00,2011-01-28 15:45:00,77,1628.12,21.144415584415583,2,315,2,39,19.5,0,0,0,1,0.9994313,1.5384615384615383,6.003414,195.29028276715957,1621.0276
12378,2011-08-02 10:34:00,2011-08-02 10:34:00,219,4008.62,18.30420091324201,1,130,1,1,1.0,0,0,219,0,0.0003434434,30.0,17470.078,9593274.599101027,4047.2212
12379,2011-06-22 16:32:00,2011-09-19 10:09:00,40,852.24,21.306,2,82,2,88,44.0,0,20,40,0,0.00016160635,0.6818181818181819,37127.023,539337.5191086648,851.5627
12380,2011-06-07 09:49:00,2011-11-18 11:27:00,104,2724.81,26.200096153846154,4,22,4,164,41.0,17,68,68,0,0.00015749647,0.7317073170731707,38095.848,730327.954870262,2745.4421
12381,2011-08-12 09:57:00,2011-12-05 12:44:00,87,1845.31,21.21045977011494,5,5,5,115,23.0,7,25,87,0,0.00013233189,1.3043478260869565,45340.203,1254373.7665456333,1854.6339
12383,2010-12-22 14:28:00,2011-06-08 08:02:00,99,1850.56,18.69252525252525,5,185,5,167,33.4,0,0,0,1,0.9990464,0.8982035928143713,6.005727,100.83431149896141,1856.8707
12384,2011-08-10 11:23:00,2011-11-11 08:39:00,27,585.27,21.676666666666666,2,29,2,92,46.0,13,13,27,0,0.00024067087,0.6521739130434783,24930.207,352437.2528787364,583.3583
12386,2010-12-08 09:53:00,2011-01-06 12:37:00,10,401.9,40.19,2,338,2,29,14.5,0,0,0,1,0.9997652,2.0689655172413794,6.001409,499.0275100806664,396.4897
12388,2011-01-17 11:12:00,2011-11-24 12:30:00,100,2780.66,27.8066,6,16,6,311,51.833333333333336,8,30,65,0,0.00015749647,0.5787781350482315,38095.848,613108.9374240856,2796.932
12390,2011-09-21 09:33:00,2011-09-21 09:33:00,32,549.84,17.1825,1,80,1,1,1.0,0,32,32,0,0.00054835767,30.0,10941.744,5640195.560888672,546.7845
12391,2011-11-18 12:07:00,2011-11-18 12:07:00,100,460.89,4.6089,1,22,1,1,1.0,100,100,100,0,0.00089597964,30.0,6696.573,925915.0924775391,456.76117
12393,2011-01-11 09:47:00,2011-09-28 15:41:00,64,1582.6000000000001,24.728125000000002,4,72,4,260,65.0,0,25,25,0,0.00015749647,0.46153846153846156,38095.848,434787.1766883264,1600.8387
12394,2011-05-06 14:01:00,2011-10-07 08:08:00,27,1272.48,47.12888888888889,2,64,2,153,76.5,0,6,6,0,0.00013875145,0.3921568627450981,43242.477,799203.8718409586,1276.6263
12395,2010-12-03 16:35:00,2011-11-20 15:21:00,156,3018.63,19.350192307692307,12,19,12,351,29.25,15,60,77,0,0.00013233189,1.0256410256410258,45340.203,899837.5894754685,3052.749
12397,2011-07-27 14:21:00,2011-11-04 09:52:00,126,2409.9,19.126190476190477,2,36,2,99,49.5,0,56,126,0,0.00011658158,0.6060606060606061,51465.668,596571.0112452651,2434.879
12398,2011-10-25 10:27:00,2011-10-25 10:27:00,85,1635.6599999999999,19.24305882352941,1,46,1,1,1.0,0,85,85,0,0.0003434434,30.0,17470.078,10085332.230330883,1653.216
12399,2011-03-23 09:42:00,2011-08-12 13:15:00,59,1108.65,18.790677966101697,4,119,4,142,35.5,0,0,12,0,0.00013934054,0.8450704225352113,43059.664,683763.6175157407,1103.5219
12401,2011-02-09 13:50:00,2011-02-09 13:50:00,5,84.3,16.86,1,303,1,1,1.0,0,0,0,1,0.9996433,30.0,6.002141,3035.8829172134397,85.8202
12402,2011-01-20 13:49:00,2011-01-20 13:49:00,11,225.6,20.509090909090908,1,323,1,1,1.0,0,0,0,1,0.9998055,30.0,6.0011673,3692.354569868608,227.16127
12403,2011-10-21 10:51:00,2011-10-21 10:51:00,5,427.7,85.53999999999999,1,50,1,1,1.0,0,5,5,0,0.00083154003,30.0,7215.5195,18516466.221093748,431.73502
12405,2011-07-14 08:52:00,2011-07-14 08:52:00,54,1710.39,31.67388888888889,1,149,1,1,1.0,0,0,54,0,0.0004087377,30.0,14679.307,13948521.825032553,1712.6508
12406,2011-06-09 10:23:00,2011-11-17 19:22:00,105,3415.3,32.52666666666667,2,22,2,161,80.5,56,56,56,0,0.00013875145,0.3726708074534162,43242.477,524174.0202445653,3409.7917
12407,2011-03-20 13:21:00,2011-10-21 10:11:00,77,1708.1200000000001,22.183376623376624,5,50,5,214,42.8,0,13,50,0,0.00015749647,0.7009345794392523,38095.848,592355.9834196542,1712.7368
12408,2011-03-24 14:46:00,2011-11-07 12:27:00,105,2888.55,27.51,5,33,5,227,45.4,0,23,69,0,0.00015749647,0.6607929515418502,38095.848,692522.0940683509,2912.4932
12409,2011-06-10 12:19:00,2011-09-22 10:38:00,109,11072.67,101.58412844036697,3,79,3,103,34.333333333333336,0,45,45,0,0.00015749647,0.8737864077669903,38095.848,3381495.27497227,11085.235
12410,2011-02-04 10:38:00,2011-02-04 10:39:00,26,693.3299999999999,26.666538461538458,2,309,2,1,0.5,0,0,0,1,0.9998419,60.0,6.0009484,9601.471325430502,694.11554
12412,2011-06-23 13:51:00,2011-09-26 10:16:00,61,1226.88,20.112786885245903,3,75,3,94,31.333333333333332,0,16,61,0,0.00013233189,0.9574468085106383,45340.203,873112.8282002094,1215.5845
12413,2011-01-06 16:12:00,2011-10-04 09:00:00,38,758.1,19.95,3,67,3,270,90.0,0,10,10,0,0.0001614137,0.3333333333333333,37171.336,247189.383984375,750.7211
12414,2011-02-02 14:51:00,2011-05-06 14:51:00,18,562.41,31.244999999999997,3,217,3,93,31.0,0,0,0,1,0.999498,0.9677419354838709,6.0030136,181.51370348776535,560.979
12415,2011-01-06 11:12:00,2011-11-15 14:22:00,714,124914.53,174.95032212885152,21,24,21,313,14.904761904761905,27,114,439,0,0.00015749647,2.012779552715655,38095.848,13414935.834238123,124920.1
12417,2010-12-17 11:51:00,2011-12-06 14:52:00,192,3649.1,19.005729166666665,9,3,9,354,39.333333333333336,20,44,100,0,0.00013233189,0.7627118644067796,45340.203,657246.8295422569,3674.439
12418,2011-08-19 11:08:00,2011-08-19 11:08:00,34,668.58,19.664117647058823,1,113,1,1,1.0,0,0,34,0,0.0004189003,30.0,14323.184,8449583.018037682,665.67145
12420,2011-10-07 08:55:00,2011-10-07 08:55:00,29,600.39,20.70310344827586,1,64,1,1,1.0,0,29,29,0,0.00054835767,30.0,10941.744,6795841.825437769,602.64935
12421,2011-01-24 15:09:00,2011-11-24 09:07:00,45,807.04,17.93422222222222,4,16,4,303,75.75,9,9,34,0,0.0001614137,0.39603960396039606,37171.336,264015.4451485149,797.76636
12422,2011-01-19 09:13:00,2011-09-05 09:48:00,39,803.5600000000001,20.604102564102565,3,96,3,229,76.33333333333333,0,0,26,0,0.0001614137,0.3930131004366812,37171.336,301001.66650256125,798.224
12423,2010-12-21 10:54:00,2011-12-09 10:10:00,125,1859.31,14.87448,8,1,8,352,44.0,17,17,29,0,0.000126539,0.6818181818181819,47415.836,480876.7522742898,1859.3325
12424,2011-06-30 12:06:00,2011-06-30 12:06:00,30,1760.96,58.69866666666667,2,163,2,1,0.5,0,0,30,0,0.00065501675,60.0,9160.058,32260990.123125,1764.8035
12425,2011-09-22 17:31:00,2011-09-22 17:31:00,36,777.2,21.58888888888889,1,78,1,1,1.0,0,36,36,0,0.00046614747,30.0,12871.436,8336399.755859374,775.8638
12426,2011-05-29 12:26:00,2011-05-29 12:26:00,30,582.73,19.424333333333333,1,195,1,1,1.0,0,0,0,1,0.99976975,30.0,6.001382,3497.185259485245,577.3997
12427,2010-12-03 10:44:00,2011-11-18 08:56:00,31,825.8,26.638709677419353,3,22,3,349,116.33333333333333,6,21,21,0,0.0001921075,0.25787965616045844,31232.35,214553.16458711235,829.7863
12428,2011-03-01 09:33:00,2011-11-14 08:22:00,294,7956.46,27.062789115646257,9,26,9,257,28.555555555555557,15,15,59,0,0.00015749647,1.0505836575875487,38095.848,1083130.6251041936,7972.2563
12429,2010-12-09 12:05:00,2011-11-30 17:22:00,97,3750.4,38.66391752577319,4,9,4,356,89.0,27,27,56,0,0.00015749647,0.33707865168539325,38095.848,496494.84669292247,3738.1877
12430,2011-10-27 15:09:00,2011-10-27 15:09:00,11,256.4,23.30909090909091,1,43,1,1,1.0,0,11,11,0,0.0007231102,30.0,8297.4795,5802201.1139914775,250.94168
12431,2010-12-01 10:03:00,2011-11-04 11:55:00,235,6487.45,27.606170212765957,15,36,15,338,22.533333333333335,0,50,104,0,0.00015749647,1.331360946745562,38095.848,1400166.2859737198,6527.5977
12432,2011-06-20 13:27:00,2011-10-28 11:43:00,108,5059.32,46.845555555555556,5,43,5,129,25.8,0,32,108,0,0.00015749647,1.1627906976744187,38095.848,2075140.8695544656,5034.036
12433,2010-12-01 13:24:00,2011-12-09 10:02:00,420,13375.87,31.847309523809525,7,1,7,372,53.142857142857146,134,192,273,0,0.00015749647,0.564516129032258,38095.848,684899.3357389848,13366.23
12434,2011-03-24 13:05:00,2011-09-16 12:38:00,50,806.14,16.122799999999998,2,85,2,175,87.5,0,34,34,0,0.00013597759,0.34285714285714286,44124.594,243912.6857528571,797.50006
12435,2011-03-17 07:40:00,2011-09-21 09:06:00,36,7829.89,217.49694444444447,2,80,2,188,94.0,0,17,17,0,0.00013875145,0.3191489361702128,43242.477,3001629.74124072,7740.152
12436,2011-09-01 12:09:00,2011-09-01 12:09:00,16,509.01,31.813125,1,100,1,1,1.0,0,0,16,0,0.0006769145,30.0,8863.735,8459493.621185303,512.17303
12437,2011-01-12 14:13:00,2011-12-08 11:35:00,199,4951.41,24.88145728643216,18,2,18,329,18.27777777777778,27,97,124,0,0.00015749647,1.641337386018237,38095.848,1555791.2199838357,4928.807
12438,2011-07-22 13:29:00,2011-11-25 13:28:00,98,2906.85,29.66173469387755,2,14,2,125,62.5,49,49,98,0,0.00013875145,0.48,43242.477,615670.4963054846,2908.0776
12441,2010-12-08 10:45:00,2010-12-08 10:45:00,11,173.55,15.77727272727273,1,367,1,1,1.0,0,0,0,1,0.99941134,30.0,6.0035343,2841.581947413358,169.02768
12442,2011-12-06 14:22:00,2011-12-06 14:22:00,12,172.06,14.338333333333333,1,3,1,1,1.0,12,12,12,0,0.0003161001,30.0,18981.27,8164793.0888671875,169.11084
12444,2011-06-21 14:00:00,2011-11-18 13:23:00,176,5005.46,28.440113636363638,5,21,5,149,29.8,34,71,176,0,0.00015749647,1.006711409395973,38095.848,1090721.714514108,5016.07
12445,2011-11-17 18:43:00,2011-11-17 18:43:00,4,133.4,33.35,1,22,1,1,1.0,4,4,4,0,0.00044160197,30.0,13586.865,13593658.666992188,134.75986
12446,2011-10-13 12:50:00,2011-10-13 12:50:00,57,1002.3100000000001,17.584385964912283,1,58,1,1,1.0,0,57,57,0,0.0004189003,30.0,14323.184,7555931.656763982,999.70825
12447,2011-04-10 13:25:00,2011-04-10 13:25:00,26,476.49,18.326538461538462,1,243,1,1,1.0,0,0,0,1,0.99983084,30.0,6.0010147,3299.3348064422607,479.77255
12448,2011-10-26 13:46:00,2011-10-26 13:46:00,22,449.45,20.429545454545455,1,44,1,1,1.0,0,22,22,0,0.0007463191,30.0,8039.4453,4927266.403231534,448.71082
12449,2011-06-05 15:37:00,2011-11-17 13:46:00,191,4067.29,21.294712041884818,4,22,4,164,41.0,59,59,143,0,0.0001384488,0.7317073170731707,43337.008,675255.4405786098,4057.0242
