Description,clean_desc,prod_cluster
white hanging heart t-light holder,white hanging heart t light holder,3
white metal lantern,white metal lantern,8
cream cupid hearts coat hanger,cream cupid hearts coat hanger,7
knitted union flag hot water bottle,knitted union flag hot water bottle,7
red woolly hottie white heart.,red woolly hottie white heart,8
set 7 babushka nesting boxes,set 7 babushka nesting boxes,7
glass star frosted t-light holder,glass star frosted t light holder,3
hand warmer union jack,hand warmer union jack,7
hand warmer red polka dot,hand warmer red polka dot,7
assorted colour bird ornament,assorted colour bird ornament,7
poppy's playhouse bedroom,poppy s playhouse bedroom,7
poppy's playhouse kitchen,poppy s playhouse kitchen,7
feltcraft princess charlotte doll,feltcraft princess charlotte doll,7
ivory knitted mug cosy,ivory knitted mug cosy,7
box of 6 assorted colour teaspoons,box of 6 assorted colour teaspoons,7
box of vintage jigsaw blocks,box of vintage jigsaw blocks,6
box of vintage alphabet blocks,box of vintage alphabet blocks,6
home building block word,home building block word,7
love building block word,love building block word,7
recipe box with metal heart,recipe box with metal heart,8
doormat new england,doormat new england,7
jam making set with jars,jam making set with jars,8
red coat rack paris fashion,red coat rack paris fashion,7
yellow coat rack paris fashion,yellow coat rack paris fashion,7
blue coat rack paris fashion,blue coat rack paris fashion,4
bath building block word,bath building block word,7
alarm clock bakelike pink,alarm clock bakelike pink,2
alarm clock bakelike red,alarm clock bakelike red,7
alarm clock bakelike green,alarm clock bakelike green,7
panda and bunnies sticker sheet,panda and bunnies sticker sheet,7
stars gift tape,stars gift tape,7
inflatable political globe,inflatable political globe,7
vintage heads and tails card game,vintage heads and tails card game,0
set/2 red retrospot tea towels,set 2 red retrospot tea towels,7
round snack boxes set of4 woodland,round snack boxes set of4 woodland,7
spaceboy lunch box,spaceboy lunch box,7
lunch box i love london,lunch box i love london,7
circus parade lunch box,circus parade lunch box,7
charlotte bag dolly girl design,charlotte bag dolly girl design,7
red toadstool led night light,red toadstool led night light,7
set 2 tea towels i love london,set 2 tea towels i love london,7
vintage seaside jigsaw puzzles,vintage seaside jigsaw puzzles,6
mini jigsaw circus parade,mini jigsaw circus parade,7
mini jigsaw spaceboy,mini jigsaw spaceboy,7
mini paint set vintage,mini paint set vintage,6
postage,postage,7
paper chain kit 50's christmas,paper chain kit 50 s christmas,10
edwardian parasol red,edwardian parasol red,7
retro coffee mugs assorted,retro coffee mugs assorted,7
save the planet mug,save the planet mug,7
vintage billboard drink me mug,vintage billboard drink me mug,6
vintage billboard love/hate mug,vintage billboard love hate mug,6
wood 2 drawer cabinet white finish,wood 2 drawer cabinet white finish,8
wood s/3 cabinet ant white finish,wood s 3 cabinet ant white finish,8
wooden picture frame white finish,wooden picture frame white finish,8
wooden frame antique white,wooden frame antique white,8
victorian sewing box large,victorian sewing box large,7
hot water bottle tea and sympathy,hot water bottle tea and sympathy,7
red hanging heart t-light holder,red hanging heart t light holder,3
jumbo bag pink polkadot,jumbo bag pink polkadot,2
jumbo  bag baroque black white,jumbo bag baroque black white,8
jumbo bag charlie and lola toys,jumbo bag charlie and lola toys,7
strawberry charlotte bag,strawberry charlotte bag,7
red 3 piece retrospot cutlery set,red 3 piece retrospot cutlery set,1
blue 3 piece polkadot cutlery set,blue 3 piece polkadot cutlery set,4
set/6 red spotty paper plates,set 6 red spotty paper plates,10
lunch bag red retrospot,lunch bag red retrospot,7
strawberry lunch box with cutlery,strawberry lunch box with cutlery,8
lunch box with cutlery retrospot,lunch box with cutlery retrospot,8
pack of 72 retrospot cake cases,pack of 72 retrospot cake cases,1
pack of 60 dinosaur cake cases,pack of 60 dinosaur cake cases,1
pack of 60 pink paisley cake cases,pack of 60 pink paisley cake cases,1
60 teatime fairy cake cases,60 teatime fairy cake cases,7
