CustomerID,Recency,TenureDays,Frequency,Monetary,Cluster,SegmentName
12346,326,1,1,77183.6,2,Loyal
12347,2,365,7,4310.0,1,VIP
12348,75,282,4,1797.24,2,Loyal
12349,19,1,1,1757.55,0,At-Risk
12350,310,1,1,334.4,3,New
12352,36,260,8,2506.04,2,Loyal
12353,204,1,1,89.0,3,New
12354,232,1,1,1079.4,3,New
12355,214,1,1,459.4,3,New
12356,23,302,3,2811.43,2,Loyal
12357,33,1,1,6207.67,2,Loyal
12358,2,149,2,1168.06,0,At-Risk
12359,58,274,4,6372.58,2,Loyal
12360,52,148,3,2662.06,2,Loyal
12361,287,1,1,189.9,3,New
12362,3,292,10,5226.23,1,VIP
12363,110,132,2,552.0,3,New
12364,8,104,4,1313.1,0,At-Risk
12365,291,1,2,641.38,3,New
12367,4,1,1,168.9,0,At-Risk
12370,51,309,4,3545.69,2,Loyal
12371,45,14,2,1887.96,2,Loyal
12372,72,224,3,1298.04,2,Loyal
12373,311,1,1,364.6,3,New
12374,25,1,1,742.9300000000001,0,At-Risk
12375,11,87,2,457.5,0,At-Risk
12377,315,39,2,1628.12,2,Loyal
12378,130,1,1,4008.62,2,Loyal
12379,82,88,2,852.24,2,Loyal
12380,22,164,4,2724.81,2,Loyal
12381,5,115,5,1845.31,1,VIP
12383,185,167,5,1850.56,2,Loyal
12384,29,92,2,585.27,0,At-Risk
12386,338,29,2,401.9,3,New
12388,16,311,6,2780.66,1,VIP
12390,80,1,1,549.84,3,New
12391,22,1,1,460.89,0,At-Risk
12393,72,260,4,1582.6000000000001,2,Loyal
12394,64,153,2,1272.48,2,Loyal
12395,19,351,12,3018.63,1,VIP
12397,36,99,2,2409.9,2,Loyal
12398,46,1,1,1635.6599999999999,2,Loyal
12399,119,142,4,1108.65,2,Loyal
12401,303,1,1,84.3,3,New
12402,323,1,1,225.6,3,New
12403,50,1,1,427.7,3,New
12405,149,1,1,1710.39,2,Loyal
12406,22,161,2,3415.3,2,Loyal
12407,50,214,5,1708.1200000000001,2,Loyal
12408,33,227,5,2888.55,2,Loyal
12409,79,103,3,11072.67,2,Loyal
12410,309,1,2,693.3299999999999,3,New
12412,75,94,3,1226.88,2,Loyal
12413,67,270,3,758.1,2,Loyal
12414,217,93,3,562.41,3,New
12415,24,313,21,124914.53,1,VIP
12417,3,354,9,3649.1,1,VIP
12418,113,1,1,668.58,3,New
12420,64,1,1,600.39,3,New
12421,16,303,4,807.04,0,At-Risk
12422,96,229,3,803.5600000000001,2,Loyal
12423,1,352,8,1859.31,1,VIP
12424,163,1,2,1760.96,2,Loyal
12425,78,1,1,777.2,3,New
12426,195,1,1,582.73,3,New
12427,22,349,3,825.8,0,At-Risk
12428,26,257,9,7956.46,1,VIP
12429,9,356,4,3750.4,1,VIP
12430,43,1,1,256.4,3,New
12431,36,338,15,6487.45,1,VIP
12432,43,129,5,5059.32,2,Loyal
12433,1,372,7,13375.87,1,VIP
12434,85,175,2,806.14,2,Loyal
12435,80,188,2,7829.89,2,Loyal
12436,100,1,1,509.01,3,New
12437,2,329,18,4951.41,1,VIP
12438,14,125,2,2906.85,2,Loyal
12441,367,1,1,173.55,3,New
12442,3,1,1,172.06,0,At-Risk
12444,21,149,5,5005.46,1,VIP
12445,22,1,1,133.4,0,At-Risk
12446,58,1,1,1002.3100000000001,3,New
12447,243,1,1,476.49,3,New
12448,44,1,1,449.45,3,New
12449,22,164,4,4067.29,2,Loyal
12450,156,17,2,197.88,3,New
12451,11,313,5,9035.52,1,VIP
12452,17,1,2,430.57,0,At-Risk
12453,134,1,1,707.09,3,New
12454,56,1,1,3528.34,2,Loyal
12455,73,223,6,2466.86,2,Loyal
12456,44,210,3,3181.04,2,Loyal
12457,66,172,7,2363.23,2,Loyal
12458,71,213,2,947.4,2,Loyal
12461,94,60,2,826.88,2,Loyal
12462,19,284,2,1189.59,0,At-Risk
12463,53,188,4,1344.78,2,Loyal
12464,10,299,8,1212.05,1,VIP
12465,17,152,2,742.1899999999999,0,At-Risk
12468,188,128,2,729.5400000000001,3,New
12471,2,362,30,19824.05,1,VIP
12472,32,336,7,6572.11,1,VIP
12473,29,162,5,3938.5499999999997,2,Loyal
12474,17,312,18,7375.79,1,VIP
12475,54,1,1,723.38,3,New
12476,16,345,11,6816.42,1,VIP
12477,23,278,6,13219.74,1,VIP
12478,4,1,1,680.99,0,At-Risk
12479,11,1,1,527.2,0,At-Risk
12480,28,307,4,3281.63,2,Loyal
12481,23,342,10,5596.32,1,VIP
12483,17,322,8,2484.98,1,VIP
12484,33,303,6,4541.72,2,Loyal
12488,10,65,3,1298.66,0,At-Risk
12489,336,1,1,334.93,3,New
12490,5,324,10,5417.93,1,VIP
12491,39,1,1,460.40000000000003,0,At-Risk
12492,63,42,2,263.21000000000004,3,New
12493,166,31,2,433.74,3,New
12494,16,349,7,1246.1000000000001,2,Loyal
12497,82,1,1,1043.1,3,New
12498,21,36,3,403.70000000000005,0,At-Risk
12500,23,310,11,4257.82,1,VIP
12501,337,1,1,2169.39,3,New
12502,96,214,5,3723.87,2,Loyal
12504,18,12,2,482.04999999999995,0,At-Risk
12506,233,1,1,73.5,3,New
12507,134,164,3,1304.81,2,Loyal
12508,26,2,2,398.27,0,At-Risk
12509,284,1,1,176.5,3,New
12510,143,182,2,982.5699999999999,2,Loyal
12512,66,1,2,138.03,3,New
12513,113,1,1,612.29,3,New
12514,267,1,1,1017.68,3,New
12515,353,1,1,383.7,3,New
12516,78,102,2,1312.06,2,Loyal
12517,28,161,5,2502.84,2,Loyal
12518,1,109,5,2056.89,1,VIP
12519,64,1,1,340.84,3,New
12520,79,194,5,2634.26,2,Loyal
12521,143,1,1,599.68,3,New
12522,39,12,2,192.72,0,At-Risk
12523,19,312,11,1789.77,1,VIP
12524,9,324,8,4485.72,1,VIP
12526,1,93,3,1316.66,0,At-Risk
12527,82,243,3,348.71000000000004,3,New
12528,9,303,6,1933.48,1,VIP
12530,60,277,4,1662.28,2,Loyal
12531,15,1,1,125.22,0,At-Risk
12532,30,1,1,349.83000000000004,0,At-Risk
12534,131,1,1,1089.18,3,New
12535,92,94,2,716.35,2,Loyal
12536,43,15,3,12601.830000000002,2,Loyal
12538,29,1,1,363.95,0,At-Risk
12539,22,311,4,5568.35,2,Loyal
12540,20,342,17,13400.24,1,VIP
12541,30,251,3,981.18,2,Loyal
12544,36,1,1,372.7,0,At-Risk
12545,75,184,2,1000.39,2,Loyal
12546,47,31,2,1161.5,2,Loyal
12547,198,82,2,207.79999999999998,3,New
12548,166,1,1,95.19999999999999,3,New
12550,79,1,1,964.83,3,New
12551,358,1,1,168.0,3,New
12552,39,1,2,437.82,0,At-Risk
12553,8,321,10,3692.28,1,VIP
12556,50,100,2,603.71,0,At-Risk
12557,16,355,5,11990.960000000001,1,VIP
12558,8,1,1,269.96,0,At-Risk
12559,311,8,2,561.71,3,New
12560,5,137,3,2134.01,0,At-Risk
12561,303,1,1,238.85,3,New
12562,8,190,7,3781.7400000000002,1,VIP
12564,261,1,1,456.9,3,New
12565,289,1,1,145.92,3,New
12566,86,1,1,351.65,3,New
12567,23,346,10,9401.28,1,VIP
12569,2,250,32,4124.69,1,VIP
12571,40,81,2,519.61,0,At-Risk
12572,9,43,2,1020.42,0,At-Risk
12573,227,1,1,160.54000000000002,3,New
12574,316,1,1,218.45,3,New
12576,36,268,5,1315.83,2,Loyal
12577,35,323,3,657.8,2,Loyal
12578,21,308,2,2794.51,2,Loyal
12579,78,1,1,440.42,3,New
12580,247,1,1,415.7,3,New
12581,40,1,1,197.71,3,New
12582,239,49,2,511.36,3,New
12583,3,370,15,7281.38,1,VIP
12584,4,276,9,2338.15,1,VIP
12585,234,117,2,2040.1,2,Loyal
12586,17,1,1,196.94000000000003,0,At-Risk
12587,8,1,1,144.0,0,At-Risk
12588,39,1,1,214.89999999999998,3,New
12589,29,115,2,646.68,0,At-Risk
12590,211,1,2,9864.26,2,Loyal
12591,317,1,1,452.84999999999997,3,New
12592,92,121,2,437.6,3,New
12593,109,110,3,418.09999999999997,3,New
12594,38,285,10,3338.2200000000003,1,VIP
12596,51,190,2,618.27,2,Loyal
12597,19,248,4,3811.22,2,Loyal
12598,10,275,8,3023.08,1,VIP
12599,29,275,7,1032.58,2,Loyal
12600,29,342,10,2599.04,1,VIP
12601,190,142,5,577.0600000000001,2,Loyal
12602,59,1,1,153.12,3,New
12603,22,1,1,739.1999999999999,0,At-Risk
12604,79,182,2,254.18,3,New
12607,60,1,1,1579.51,2,Loyal
12609,78,240,3,1126.85,2,Loyal
12610,23,103,5,2099.54,2,Loyal
12611,52,1,1,1193.32,2,Loyal
12612,74,1,1,704.0400000000001,3,New
12613,57,204,5,3344.38,2,Loyal
12614,278,1,1,315.6,3,New
12615,2,166,4,2291.19,1,VIP
12616,95,202,2,713.3,3,New
12617,29,1,1,355.53,0,At-Risk
12618,22,1,1,177.31,0,At-Risk
12619,16,237,9,3641.24,1,VIP
12620,15,189,3,1339.41,2,Loyal
12621,2,364,20,13689.67,1,VIP
12622,232,1,1,180.1,3,New
12623,276,1,1,305.1,3,New
12624,106,71,2,641.13,3,New
12625,212,107,2,2683.82,2,Loyal
12626,23,303,9,6620.48,1,VIP
12627,11,129,7,4478.53,1,VIP
12628,4,60,3,786.46,0,At-Risk
12630,10,34,2,1270.88,0,At-Risk
12631,57,1,1,640.5,3,New
12633,59,229,4,2163.98,2,Loyal
12635,90,65,2,1689.18,2,Loyal
12637,67,256,8,6021.9,2,Loyal
12638,33,1,1,671.69,0,At-Risk
12639,239,1,1,486.1,3,New
12640,24,57,3,1174.58,2,Loyal
12641,115,1,1,185.9,3,New
12642,25,82,3,1013.26,2,Loyal
12643,128,204,6,3344.64,2,Loyal
12644,130,1,1,477.91,3,New
12645,34,282,4,1775.18,2,Loyal
12646,5,44,2,1346.97,0,At-Risk
12647,22,346,12,3722.82,1,VIP
12648,155,1,1,318.05,3,New
12649,107,105,3,623.51,2,Loyal
12650,3,1,1,314.44,0,At-Risk
12651,335,1,1,114.0,3,New
12652,331,1,1,919.98,3,New
12653,149,147,2,2209.85,2,Loyal
12654,11,284,5,601.98,0,At-Risk
12656,17,216,5,4051.17,1,VIP
12657,11,67,4,1643.18,2,Loyal
12658,19,1,1,686.05,0,At-Risk
12659,30,1,1,91.68,3,New
12660,11,1,1,245.1,0,At-Risk
12662,1,372,11,3849.78,1,VIP
12664,8,314,9,4881.88,1,VIP
12665,325,1,1,63.0,3,New
12667,58,1,1,620.13,3,New
12668,12,343,4,3807.15,1,VIP
12669,151,105,3,2744.0299999999997,2,Loyal
12670,10,222,5,2996.05,1,VIP
12672,330,1,1,225.89999999999998,3,New
12673,5,321,2,610.52,0,At-Risk
12674,39,169,4,1970.6,2,Loyal
12676,25,286,6,1331.39,2,Loyal
12678,42,311,12,17628.46,1,VIP
12679,59,225,4,1113.02,2,Loyal
12680,1,112,4,862.81,0,At-Risk
12681,15,353,22,13787.54,1,VIP
12682,4,367,31,12288.22,1,VIP
12683,4,361,15,8476.57,1,VIP
12684,8,205,7,2283.63,1,VIP
12685,28,65,6,2863.08,2,Loyal
12686,372,1,1,89.14,3,New
12688,114,1,1,4873.8099999999995,2,Loyal
12689,26,101,2,1247.61,2,Loyal
12690,206,1,1,389.01,3,New
12691,28,329,6,1035.8,2,Loyal
12693,127,192,4,855.91,2,Loyal
12694,70,112,2,869.67,2,Loyal
12695,7,203,4,582.1,0,At-Risk
12697,29,140,3,957.59,2,Loyal
12700,8,207,4,4939.99,1,VIP
12701,80,162,2,797.71,2,Loyal
12702,20,1,1,219.0,0,At-Risk
12703,71,1,1,283.55,3,New
12704,7,162,8,2340.84,1,VIP
12705,15,341,9,6868.29,1,VIP
12707,292,1,1,603.42,3,New
12708,30,338,10,2712.91,1,VIP
12709,15,351,15,9736.52,1,VIP
