CustomerID,Recency,TenureDays,Frequency,Monetary
12346,326,1,1,77183.6
12347,2,365,7,4310.0
12348,75,282,4,1797.24
12349,19,1,1,1757.55
12350,310,1,1,334.4
12352,36,260,8,2506.04
12353,204,1,1,89.0
12354,232,1,1,1079.4
12355,214,1,1,459.4
12356,23,302,3,2811.43
12357,33,1,1,6207.67
12358,2,149,2,1168.06
12359,58,274,4,6372.58
12360,52,148,3,2662.06
12361,287,1,1,189.9
12362,3,292,10,5226.23
12363,110,132,2,552.0
12364,8,104,4,1313.1
12365,291,1,2,641.38
12367,4,1,1,168.9
12370,51,309,4,3545.69
12371,45,14,2,1887.96
12372,72,224,3,1298.04
12373,311,1,1,364.6
12374,25,1,1,742.9300000000001
12375,11,87,2,457.5
12377,315,39,2,1628.12
12378,130,1,1,4008.62
12379,82,88,2,852.24
12380,22,164,4,2724.81
12381,5,115,5,1845.31
12383,185,167,5,1850.56
12384,29,92,2,585.27
12386,338,29,2,401.9
12388,16,311,6,2780.66
12390,80,1,1,549.84
12391,22,1,1,460.89
12393,72,260,4,1582.6000000000001
12394,64,153,2,1272.48
12395,19,351,12,3018.63
12397,36,99,2,2409.9
12398,46,1,1,1635.6599999999999
12399,119,142,4,1108.65
12401,303,1,1,84.3
12402,323,1,1,225.6
12403,50,1,1,427.7
12405,149,1,1,1710.39
12406,22,161,2,3415.3
12407,50,214,5,1708.1200000000001
12408,33,227,5,2888.55
12409,79,103,3,11072.67
12410,309,1,2,693.3299999999999
12412,75,94,3,1226.88
12413,67,270,3,758.1
12414,217,93,3,562.41
12415,24,313,21,124914.53
12417,3,354,9,3649.1
12418,113,1,1,668.58
12420,64,1,1,600.39
12421,16,303,4,807.04
12422,96,229,3,803.5600000000001
12423,1,352,8,1859.31
12424,163,1,2,1760.96
12425,78,1,1,777.2
12426,195,1,1,582.73
12427,22,349,3,825.8
12428,26,257,9,7956.46
12429,9,356,4,3750.4
12430,43,1,1,256.4
12431,36,338,15,6487.45
12432,43,129,5,5059.32
